,No,개설학과,학년,과목번호,분반,과목명,"제한
인원","수강
인원","개설
이수구분",학점/시수,수업방식,강의시간,담당교수,교원구분,수강안내,수강제한참고사항,"영어
강의",교양영역,"교육과정
이수구분","교육과정
적용년도",수업유형,성적평가방식,영문과목명,절대상대평가,교직영역,"전자
출결","국어관련
교과목","영어관련
교과목","인문학관련
교과목","소프트웨어관련
교과목",전문가,Unnamed: 31,혁신가,Unnamed: 33,세계시민,Unnamed: 35,인증제,Unnamed: 37,Unnamed: 38
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전공지식탐구역량,융복합지식활용역량,창의적문제해결역량,미래 ICT역량,윤리지향성역량,지속가능성역량,이수구분,설계학점,이론/실습/설계
1,1.0,대학 학과공통,1.0,1000-9083,0.0,사회봉사(1),154.0,97.0,일반선택,1/0/2,,,류진석,전임교수,,,,,일반선택,2025.0,실습,PASS/FAIL,Community Service(1),절대평가,,,,,,,0,0,0,0,0,0,,0,0/2/0
2,2.0,대학 학과공통,1.0,1000-9232,0.0,교육봉사 2,500.0,191.0,교직,1/0/2,,,박환보,전임교수,"교직과정생(학부), 교육대학원생만 수강 가능",,,,교직,2025.0,실습,PASS/FAIL,Educational Service 2,절대평가,교육실습,,,,,,0,0,0,0,0,0,,,
3,3.0,대학 학과공통,1.0,1000-9236,0.0,교육봉사 1,500.0,160.0,교직,1/0/2,,,박환보,전임교수,"교직과정생(학부), 교육대학원생만 수강 가능",,,,교직,2025.0,실습,PASS/FAIL,Educational Service 1,절대평가,교육실습,,,,,,0,0,0,0,0,0,,,
4,4.0,대학 학과공통,1.0,1000-9581,0.0,성인지교육1,500.0,284.0,교직,0/0/0,,,박환보,전임교수,"교직과정생(학부), 교육대학원생만 수강 가능",,,,교직,2025.0,가상강의,PASS/FAIL,Gender Sensitivity Education for Pre-service Teachers 1,절대평가,,,,,,,0,0,0,0,0,0,,,
5,5.0,대학 학과공통,1.0,1000-9582,0.0,성인지교육2,500.0,313.0,교직,0/0/0,,,박환보,전임교수,"교직과정생(학부), 교육대학원생만 수강 가능",,,,교직,2025.0,가상강의,PASS/FAIL,Gender Sensitivity Education for Pre-service Teachers 2,절대평가,,,,,,,0,0,0,0,0,0,,,
6,6.0,대학 학과공통,1.0,1000-9583,0.0,성인지교육3,500.0,146.0,교직,0/0/0,,,박환보,전임교수,"교직과정생(학부), 교육대학원생만 수강 가능",,,,교직,2025.0,가상강의,PASS/FAIL,Gender Sensitivity Education for Pre-service Teachers 3,절대평가,,,,,,,0,0,0,0,0,0,,,
7,7.0,대학 학과공통,1.0,1000-9584,0.0,성인지교육4,500.0,74.0,교직,0/0/0,,,박환보,전임교수,"교직과정생(학부), 교육대학원생만 수강 가능",,,,교직,2025.0,가상강의,PASS/FAIL,Gender Sensitivity Education for Pre-service Teachers 4,절대평가,,,,,,,0,0,0,0,0,0,,,
8,8.0,대학 학과공통,1.0,1001-7001,0.0,현대사회와 직업의 세계,180.0,137.0,교양(소양),2/2/0,,목14:00~16:00(교111),이승환,전임교수,,,,소양교양(ESG),교양(소양),2025.0,이론,GRADE,Various Occupations in the Modern Society,절대평가,,,,,,,,,,,,,,,2/0/0
9,9.0,대학 학과공통,1.0,1001-7001,1.0,현대사회와 직업의 세계,180.0,134.0,교양(소양),2/2/0,,목16:00~18:00(교111),이승환,전임교수,,,,소양교양(ESG),교양(소양),2025.0,이론,GRADE,Various Occupations in the Modern Society,절대평가,,,,,,,,,,,,,,,2/0/0
10,10.0,대학 학과공통,1.0,1001-7002,0.0,직업과 진로,180.0,142.0,교양(소양),2/2/0,,화14:00~16:00(교111),이승환,전임교수,,,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,Occupational Guidance,절대평가,,,,,,,,,,,,,,,0/0/0
11,11.0,대학 학과공통,1.0,1001-7002,1.0,직업과 진로,180.0,125.0,교양(소양),2/2/0,,화16:00~18:00(교111),이승환,전임교수,,,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,Occupational Guidance,절대평가,,,,,,,,,,,,,,,0/0/0
12,12.0,대학 학과공통,1.0,1001-7003,0.0,스포츠융복합산업론,40.0,37.0,교양(소양),3/3/0,,"수10:30~12:00(교202A), 금09:00~10:30(교207)",최재선,강사,,,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,The Theory of Convergence Industry,상대평가,,,,,,,,,,,,,,,0/0/0
13,13.0,대학 학과공통,1.0,1001-7007,0.0,현대인의 경제활동과 법률,65.0,59.0,교양(소양),3/3/0,,목15:00~18:00(교204A),김종희,강사,,,,소양교양(ESG),교양(소양),2025.0,이론,GRADE,Law for Economic activities in the modern era,상대평가,,,,,,,,,,,,,,,0/0/0
14,14.0,대학 학과공통,1.0,1001-7008,0.0,표현과예술심리치료,50.0,50.0,교양(소양),3/3/0,,화09:00~12:00(교208),고홍월,전임교수,,,,소양교양(예술과표현),교양(소양),2025.0,이론,GRADE,Expressive Arts Therapy,상대평가,,,,,,,,,,,,,,,0/0/0
15,15.0,대학 학과공통,1.0,1001-7009,0.0,과학과문화,30.0,28.0,교양(소양),3/3/0,,목09:00~12:00(농2402),최인철,전임교수,,,Y,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,Sciences and Culture,상대평가,,,,,,,,,,,,,,,0/0/0
16,16.0,대학 학과공통,1.0,1001-7010,0.0,정의란무엇인가,30.0,31.0,교양(소양),3/3/0,,금09:00~12:00(교408),신진,명예교수,,,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,"Justice, What's the Right Thing to Do",상대평가,,,,,,,,,,,,,,,0/0/0
17,17.0,대학 학과공통,1.0,1001-7012,0.0,범죄의진실과오해,122.0,124.0,교양(소양),3/3/0,원격수업,"월10:30~12:00, 수10:30~12:00",곽대훈,전임교수,[서해안권 교과목],,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,Realities and Myths of Crime and Justice,상대평가,,,,,,,,,,,,,,,0/0/0
18,18.0,대학 학과공통,1.0,1001-7012,1.0,범죄의진실과오해,122.0,132.0,교양(소양),3/3/0,원격수업,"월13:00~14:30, 수13:00~14:30",곽대훈,전임교수,[서해안권 교과목],,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,Realities and Myths of Crime and Justice,상대평가,,,,,,,,,,,,,,,0/0/0
19,19.0,대학 학과공통,1.0,1001-7013,0.0,공존을위한창의적설계,30.0,27.0,교양(소양),3/3/0,,금09:00~12:00(공2258-B),권재열,전임교수,,,,소양교양(ESG),교양(소양),2025.0,이론,GRADE,Creative design for real coexistence,상대평가,,,,,,,,,,,,,,,0/0/0
20,20.0,대학 학과공통,1.0,1001-7015,0.0,창의적발상론,30.0,27.0,교양(소양),3/3/0,,금09:00~12:00(공2258-C),박경혜,전임교수,,,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,Spark of Creative Idea,상대평가,,,,,,,,,,,,,,,0/0/0
21,21.0,대학 학과공통,1.0,1001-7019,0.0,생활속텍스트의이해,40.0,38.0,교양(소양),3/3/0,,목15:00~18:00(인0102),백미현,전임교수,,,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,Understanding of Texts in Life,상대평가,,,,,,,,,,,,,,,0/0/0
22,22.0,대학 학과공통,1.0,1001-7020,0.0,말하기와토론,20.0,19.0,교양(소양),3/3/0,,"화16:30~18:00(사강404), 수16:30~18:00(사강404)",김수정,전임교수,,,,소양교양(예술과표현),교양(소양),2025.0,이론,GRADE,Speech and Debate,상대평가,,,,,,,,,,,,,,,0/0/0
23,23.0,대학 학과공통,1.0,1001-7022,0.0,마음과행동의뇌과학,100.0,97.0,교양(소양),3/3/0,원격수업,"화12:00~13:30(교301), 금10:30~12:00(교105)",한석원,전임교수,[서해안권 교과목],,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,Understanding brain mechanisms of human mind and behaviors,상대평가,,,,,,,,,,,,,,,0/0/0
24,24.0,대학 학과공통,1.0,1001-7026,0.0,K-Culture와문화마케팅,0.0,0.0,교양(소양),3/3/0,,"화15:00~16:30(교404A), 금10:30~12:00(교202A)",황복희,강사,[1차 폐강 예정 교과목],,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,K-Culture and Culture Marketing,상대평가,,,,,,,,,,,,,,,0/0/0
25,25.0,대학 학과공통,1.0,1001-7033,0.0,4차산업혁명과공공가치,30.0,0.0,교양(소양),3/3/0,,금12:00~15:00(교408),신진,명예교수,,,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,The 4th Industrial Revolution and Public values,상대평가,,,,,,,,,,,,,,,0/0/0
26,26.0,대학 학과공통,1.0,1001-7034,0.0,4차산업혁명시대를위한인문학입문,50.0,50.0,교양(소양),3/3/0,,"수15:00~16:00(교104A), 목10:00~12:00(교305)",김경배,강사,,,,소양교양(인성),교양(소양),2025.0,이론,GRADE,Introduction to Humanities for the Fourth Industrial Revolution,상대평가,,,,,Y,,,,,,,,,,0/0/0
27,27.0,대학 학과공통,1.0,1001-7035,0.0,컴퓨팅 사고와 고전읽기,30.0,19.0,교양(소양),3/3/0,,목14:00~17:00(교407),김정숙,전임교수,,,,소양교양(인성),교양(소양),2025.0,이론,GRADE,Computational Thinking and Reading Classics,상대평가,,,,,,,,,,,,,,,0/0/0
28,28.0,대학 학과공통,1.0,1001-7037,0.0,글로벌 네트워킹과 협력: 기본 이해와 실제,0.0,0.0,교양(소양),3/3/0,,목15:00~18:00(공2258-G),권재열,전임교수,[1차 폐강 예정 교과목],,,소양교양(지역과세계),교양(소양),2025.0,이론,GRADE,Introduction to global Networking and cooperation,상대평가,,,,,,,,,,,,,,,0/0/0
29,29.0,대학 학과공통,1.0,1001-7038,0.0,미래지속가능 웰니스융합,30.0,26.0,교양(소양),2/2/0,,월10:00~12:00(교303B),송영신,전임교수,,,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,Future sustainable wellness,상대평가,,,,,,,,,,,,,,,0/0/0
30,30.0,대학 학과공통,1.0,1001-7041,0.0,융복합 학문의 원리에서 배우는 삶의 지혜,30.0,30.0,교양(소양),3/3/0,,수15:00~18:00(사강405),고세일,전임교수,,,,소양교양(인성),교양(소양),2025.0,이론,GRADE,Life Wisdom from the Principles of Interdisciplinarity,상대평가,,,,,,,,,,,,,,,0/0/0
31,31.0,대학 학과공통,1.0,1002-7002,0.0,프로그래밍언어,0.0,34.0,교양(균형),2/1/2,,"월10:00~11:00(공4413), 월11:00~13:00(공4413)",박승환,전임교수,공학인증 대상 분반,,,균형교양(자연과학),교양(균형),2025.0,이론,GRADE,Programming Language,상대평가,,,,,,Y,,,,,,,MSC,,1/2/0
32,32.0,대학 학과공통,1.0,1002-7002,1.0,프로그래밍언어,0.0,35.0,교양(균형),2/1/2,,"월13:00~14:00(공4413), 월14:00~16:00(공4413)",박승환,전임교수,공학인증 대상 분반,,,균형교양(자연과학),교양(균형),2025.0,이론,GRADE,Programming Language,상대평가,,,,,,Y,,,,,,,MSC,,1/2/0
33,33.0,대학 학과공통,1.0,1002-7002,2.0,프로그래밍언어,0.0,34.0,교양(균형),2/1/2,,"월16:00~17:00(공4413), 월17:00~19:00(공4413)",박승환,전임교수,공학인증 대상 분반,,,균형교양(자연과학),교양(균형),2025.0,이론,GRADE,Programming Language,상대평가,,,,,,Y,,,,,,,MSC,,1/2/0
34,34.0,대학 학과공통,1.0,1002-7002,3.0,프로그래밍언어,23.0,22.0,교양(균형),2/1/2,,"목14:00~15:00(산학연0210), 목15:00~17:00(산학연0210)",노경숙,강사,공학인증 대상 분반,,,균형교양(자연과학),교양(균형),2025.0,이론,GRADE,Programming Language,상대평가,,,,,,Y,,,,,,,MSC,,1/2/0
35,35.0,대학 학과공통,1.0,1004-7002,0.0,컴퓨터과학적사고,150.0,145.0,교양(기초),3/2/2,원격수업,"화16:00~18:00(교106A), 목10:00~12:00(교106A)",최미선,산학협력중점교수,[전계열 학생 수강 가능],,,기초교양(AI리터러시),교양(기초),2025.0,이론/실습,GRADE,Computer scientific Thinking,절대평가,,,,,,Y,,,,,,,,,0/0/0
36,36.0,대학 학과공통,1.0,1004-7002,1.0,컴퓨터과학적사고,150.0,130.0,교양(기초),3/2/2,원격수업,"화10:00~12:00(공5409), 금16:00~18:00(교106A)",최미선,산학협력중점교수,[전계열 학생 수강 가능],,,기초교양(AI리터러시),교양(기초),2025.0,이론/실습,GRADE,Computer scientific Thinking,절대평가,,,,,,Y,,,,,,,,,0/0/0
37,37.0,대학 학과공통,1.0,1004-7002,2.0,컴퓨터과학적사고,150.0,114.0,교양(기초),3/2/2,원격수업,"월16:00~18:00(교106A), 수13:00~15:00(교106A)",천은영,강사,[자연계열] 수강 가능,,,기초교양(AI리터러시),교양(기초),2025.0,이론/실습,GRADE,Computer scientific Thinking,절대평가,,,,,,Y,,,,,,,,,0/0/0
38,38.0,대학 학과공통,1.0,1004-7002,3.0,컴퓨터과학적사고,150.0,149.0,교양(기초),3/2/2,원격수업,"월14:00~16:00(교106A), 수11:00~13:00(교106A)",천은영,강사,[자연계열] 수강 가능,,,기초교양(AI리터러시),교양(기초),2025.0,이론/실습,GRADE,Computer scientific Thinking,절대평가,,,,,,Y,,,,,,,,,0/0/0
39,39.0,대학 학과공통,1.0,1004-7002,4.0,컴퓨터과학적사고,150.0,57.0,교양(기초),3/2/2,원격수업,"월10:00~12:00(교106A), 수15:00~17:00(교106A)",신효정,강사,"[인문사회계열, 예체능계열] 수강 가능",,,기초교양(AI리터러시),교양(기초),2025.0,이론/실습,GRADE,Computer scientific Thinking,절대평가,,,,,,Y,,,,,,,,,0/0/0
40,40.0,대학 학과공통,1.0,1004-7002,5.0,컴퓨터과학적사고,150.0,80.0,교양(기초),3/2/2,원격수업,"화14:00~16:00(교106A), 목16:00~18:00(교106A)",이은주,강사,[자연계열] 수강 가능,,,기초교양(AI리터러시),교양(기초),2025.0,이론/실습,GRADE,Computer scientific Thinking,절대평가,,,,,,Y,,,,,,,,,0/0/0
41,41.0,대학 학과공통,1.0,1004-7002,6.0,컴퓨터과학적사고,150.0,70.0,교양(기초),3/2/2,원격수업,"화10:00~12:00(교104A), 금16:00~18:00(교104A)",서정주,강사,[자연계열] 수강 가능,,,기초교양(AI리터러시),교양(기초),2025.0,이론/실습,GRADE,Computer scientific Thinking,절대평가,,,,,,Y,,,,,,,,,0/0/0
42,42.0,대학 학과공통,1.0,1004-7002,7.0,컴퓨터과학적사고,0.0,145.0,교양(기초),3/2/2,원격수업,"월10:00~12:00(교209A), 목16:00~18:00(교408)",최미선,산학협력중점교수,,,,기초교양(AI리터러시),교양(기초),2025.0,이론/실습,GRADE,Computer scientific Thinking,절대평가,,,,,,Y,,,,,,,,,0/0/0
43,43.0,대학 학과공통,1.0,1004-7003,0.0,인공지능과 미래사회,200.0,200.0,교양(기초),3/3/0,원격수업,,전중양,산학협력중점교수,"[인문사회계열, 예체능계열] 수강 가능",,,기초교양(AI리터러시),교양(기초),2025.0,이론,GRADE,Artificial Intelligence and Future Society,절대평가,,,,,,Y,,,,,,,,,0/0/0
44,44.0,대학 학과공통,1.0,1004-7003,1.0,인공지능과 미래사회,200.0,196.0,교양(기초),3/3/0,원격수업,,이민선,산학협력중점교수,"[인문사회계열, 예체능계열] 수강 가능",,,기초교양(AI리터러시),교양(기초),2025.0,이론,GRADE,Artificial Intelligence and Future Society,절대평가,,,,,,Y,,,,,,,,,0/0/0
45,45.0,대학 학과공통,1.0,1004-7003,2.0,인공지능과 미래사회,200.0,195.0,교양(기초),3/3/0,원격수업,,노창배,강사,"[인문사회계열, 예체능계열] 수강 가능",,,기초교양(AI리터러시),교양(기초),2025.0,이론,GRADE,Artificial Intelligence and Future Society,절대평가,,,,,,Y,,,,,,,,,0/0/0
46,46.0,대학 학과공통,1.0,1004-7003,3.0,인공지능과 미래사회,200.0,198.0,교양(기초),3/3/0,원격수업,,이상길,강사,"[인문사회계열, 예체능계열] 수강 가능",,,기초교양(AI리터러시),교양(기초),2025.0,이론,GRADE,Artificial Intelligence and Future Society,절대평가,,,,,,Y,,,,,,,,,0/0/0
47,47.0,대학 학과공통,1.0,1004-7003,4.0,인공지능과 미래사회,200.0,192.0,교양(기초),3/3/0,원격수업,,이홍로,강사,"[인문사회계열, 예체능계열] 수강 가능",,,기초교양(AI리터러시),교양(기초),2025.0,이론,GRADE,Artificial Intelligence and Future Society,절대평가,,,,,,Y,,,,,,,,,0/0/0
48,48.0,대학 학과공통,1.0,1004-7003,5.0,인공지능과 미래사회,90.0,69.0,교양(기초),3/3/0,,"수16:30~18:00(교209A), 금15:00~16:30(교209A)",이홍로,강사,[자연계열] 수강 가능,,,기초교양(AI리터러시),교양(기초),2025.0,이론,GRADE,Artificial Intelligence and Future Society,절대평가,,,,,,Y,,,,,,,,,0/0/0
49,49.0,대학 학과공통,1.0,1004-7003,6.0,인공지능과 미래사회,90.0,63.0,교양(기초),3/3/0,,"월13:30~15:00(교209A), 수12:00~13:30(교209A)",한희원,강사,[자연계열] 수강 가능,,,기초교양(AI리터러시),교양(기초),2025.0,이론,GRADE,Artificial Intelligence and Future Society,절대평가,,,,,,Y,,,,,,,,,0/0/0
50,50.0,대학 학과공통,1.0,1004-7003,7.0,인공지능과 미래사회,90.0,73.0,교양(기초),3/3/0,,"수13:30~15:00(교209A), 금12:00~13:30(교209A)",한희원,강사,[자연계열] 수강 가능,,,기초교양(AI리터러시),교양(기초),2025.0,이론,GRADE,Artificial Intelligence and Future Society,절대평가,,,,,,Y,,,,,,,,,0/0/0
51,51.0,대학 학과공통,1.0,1004-7003,8.0,인공지능과 미래사회,100.0,97.0,교양(기초),3/3/0,,"월12:00~13:30(농1101), 금13:30~15:00(농1101)",이돈오,강사,농생명융합학부 전용 강좌,타 학과 학생 수강 제한,,기초교양(AI리터러시),교양(기초),2025.0,이론,GRADE,Artificial Intelligence and Future Society,절대평가,,,,,,Y,,,,,,,,,0/0/0
52,52.0,대학 학과공통,1.0,1004-7003,9.0,인공지능과 미래사회,100.0,99.0,교양(기초),3/3/0,,"월16:30~18:00(농1101), 금12:00~13:30(농1101)",이돈오,강사,농생명융합학부 전용 강좌,타 학과 학생 수강 제한,,기초교양(AI리터러시),교양(기초),2025.0,이론,GRADE,Artificial Intelligence and Future Society,절대평가,,,,,,Y,,,,,,,,,0/0/0
53,53.0,대학 학과공통,1.0,1004-7003,10.0,인공지능과 미래사회,90.0,73.0,교양(기초),3/3/0,,"화09:00~10:30(교106A), 금09:00~10:30(교214)",노창배,강사,[자연계열] 수강 가능,,,기초교양(AI리터러시),교양(기초),2025.0,이론,GRADE,Artificial Intelligence and Future Society,절대평가,,,,,,Y,,,,,,,,,0/0/0
54,54.0,대학 학과공통,1.0,1004-7003,11.0,인공지능과 미래사회,0.0,40.0,교양(기초),3/3/0,원격수업,토16:00~19:00(경E203),전중양,산학협력중점교수,[기술경영건설학부 전용 분반],,,기초교양(AI리터러시),교양(기초),2025.0,이론,GRADE,Artificial Intelligence and Future Society,절대평가,,,,,,Y,,,,,,,,,0/0/0
55,55.0,대학 학과공통,1.0,1004-7003,12.0,인공지능과 미래사회,0.0,72.0,교양(기초),3/3/0,원격수업,수15:00~18:00(교214),최훈,전임교수,,,,기초교양(AI리터러시),교양(기초),2025.0,이론,GRADE,Artificial Intelligence and Future Society,절대평가,,,,,,Y,,,,,,,,,0/0/0
56,56.0,대학 학과공통,1.0,1004-7005,0.0,파이썬프로그래밍,145.0,130.0,교양(균형),3/2/2,원격수업,"화10:00~12:00(교408), 금16:00~18:00(교408)",김대엽,강사,[전계열] 수강 가능,,,균형교양(자연과학),교양(균형),2025.0,이론/실습,GRADE,Python Programming,절대평가,,,,,,Y,,,,,,,,,0/0/0
57,57.0,대학 학과공통,1.0,1004-7005,1.0,파이썬프로그래밍,147.0,131.0,교양(균형),3/2/2,원격수업,"목14:00~16:00(교106A), 금10:00~12:00(교106A)",김대엽,강사,[전계열] 수강 가능,,,균형교양(자연과학),교양(균형),2025.0,이론/실습,GRADE,Python Programming,절대평가,,,,,,Y,,,,,,,,,0/0/0
58,58.0,대학 학과공통,1.0,1004-7006,0.0,데이터분석 입문과활용,150.0,71.0,교양(균형),3/2/2,원격수업,"월16:00~18:00(교408), 수13:00~15:00(교408)",신효정,강사,[전계열] 수강 가능,,,균형교양(자연과학),교양(균형),2025.0,이론/실습,GRADE,Introduction to Data Analysis and Application,절대평가,,,,,,Y,,,,,,,,,0/0/0
59,59.0,대학 학과공통,1.0,1004-7007,0.0,컴퓨터 이해와 활용,90.0,78.0,교양(소양),3/3/0,,"월15:00~16:30(교214), 목16:30~18:00(교214)",김상형,초빙교원,[전계열] 수강 가능,,,소양교양(디지털),교양(소양),2025.0,이론,GRADE,Understanding and Using Computer,절대평가,,,,,,Y,,,,,,,,,0/0/0
60,60.0,대학 학과공통,1.0,1004-7007,1.0,컴퓨터 이해와 활용,150.0,149.0,교양(소양),3/3/0,원격수업,,김상형,초빙교원,[전계열] 수강 가능,,,소양교양(디지털),교양(소양),2025.0,이론,GRADE,Understanding and Using Computer,절대평가,,,,,,Y,,,,,,,,,0/0/0
61,61.0,대학 학과공통,1.0,1004-7007,2.0,컴퓨터 이해와 활용,100.0,14.0,교양(소양),3/3/0,원격수업,"화10:30~12:00(교211), 목09:00~10:30(교211)",이민선,산학협력중점교수,외국인 유학생 전용 분반,,,소양교양(디지털),교양(소양),2025.0,이론,GRADE,Understanding and Using Computer,절대평가,,,,,,Y,,,,,,,,,0/0/0
62,62.0,대학 학과공통,1.0,1004-7008,0.0,정보보호입문과활용,40.0,22.0,교양(소양),3/2/2,,"월14:00~16:00(공5404), 수10:00~12:00(공5416)",원유재,전임교수,[전계열] 수강 가능,,,소양교양(디지털),교양(소양),2025.0,이론/실습,GRADE,Introduction to information security and application,절대평가,,,,,,Y,,,,,,,,,0/0/0
63,63.0,대학 학과공통,1.0,1005-7001,0.0,법학개론,84.0,74.0,교양(균형),3/3/0,혼합,월15:00~18:00(법109),김권일,강사,,,,균형교양(사회과학),교양(균형),2025.0,이론,GRADE,Introduction to Jurisprudence,상대평가,,,,,,,,,,,,,,,0/0/0
64,64.0,대학 학과공통,1.0,1005-7003,0.0,생활법률,40.0,40.0,교양(균형),3/3/0,,화15:00~18:00(법101),신현석,전임교수,,,,균형교양(사회과학),교양(균형),2025.0,이론,GRADE,Laws for Living,상대평가,,,,,,,,,,,,,,,0/0/0
65,65.0,대학 학과공통,1.0,1005-7003,1.0,생활법률,90.0,89.0,교양(균형),3/3/0,원격수업,"화10:30~12:00(교214), 금15:00~16:30(교214)",류광해,전임교수,,,,균형교양(사회과학),교양(균형),2025.0,이론,GRADE,Laws for Living,상대평가,,,,,,,,,,,,,,,0/0/0
66,66.0,대학 학과공통,1.0,1005-7003,2.0,생활법률,70.0,69.0,교양(균형),3/3/0,,"화15:00~16:30(교408), 목09:00~10:30(교408)",홍승희,강사,,,,균형교양(사회과학),교양(균형),2025.0,이론,GRADE,Laws for Living,상대평가,,,,,,,,,,,,,,,0/0/0
67,67.0,대학 학과공통,1.0,1005-7003,3.0,생활법률,45.0,61.0,교양(균형),3/3/0,,"월10:30~12:00(교408), 수09:00~10:30(교408)",정상민,전임교수,간호대학 전용 분반,타 학과 학생 수강 제한,,균형교양(사회과학),교양(균형),2025.0,이론,GRADE,Laws for Living,상대평가,,,,,,,,,,,,,,,0/0/0
68,68.0,대학 학과공통,1.0,1005-7003,4.0,생활법률,0.0,147.0,교양(균형),3/3/0,원격수업,화12:00~15:00(법109),류광해,전임교수,,,,균형교양(사회과학),교양(균형),2025.0,이론,GRADE,Laws for Living,상대평가,,,,,,,,,,,,,,,0/0/0
69,69.0,대학 학과공통,1.0,1005-7004,0.0,인터넷과 법,60.0,60.0,교양(소양),3/3/0,,월13:30~16:30(교301),김도경,강사,,,,소양교양(인성),교양(소양),2025.0,이론,GRADE,Internet and Law,상대평가,,,,,,,,,,,,,,,0/0/0
70,70.0,대학 학과공통,1.0,1005-7005,0.0,공학법제,70.0,58.0,교양(소양),3/3/0,,월10:30~13:30(교407),김도경,강사,,,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,Legal Aspects of Engineering,상대평가,,,,,,,,,,,,,,,3/0/0
71,71.0,대학 학과공통,1.0,1005-7006,0.0,인권과 법,70.0,70.0,교양(소양),3/3/0,,월14:00~17:00(교202A),송영현,강사,,,,소양교양(ESG),교양(소양),2025.0,이론,GRADE,Human Right and Law,상대평가,,,,,,,,,,,,,,,3/0/0
72,72.0,대학 학과공통,1.0,1005-7007,0.0,영화속법률,60.0,0.0,교양(소양),3/3/0,,"목10:30~12:00(교301), 금13:30~15:00(교301)",민지원,강사,,,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,Law in Film,상대평가,,,,,,,,,,,,,,,0/0/0
73,73.0,대학 학과공통,1.0,1005-7008,0.0,창업과법률,70.0,67.0,교양(소양),3/3/0,,금15:00~18:00(교105),이형욱,강사,,,,소양교양(ESG),교양(소양),2025.0,이론,GRADE,Entrepreneurship and Law,상대평가,,,,,,,,,,,,,,,0/0/0
74,74.0,대학 학과공통,1.0,1005-7009,0.0,국제사회와법이야기,60.0,57.0,교양(소양),3/3/0,,화15:00~18:00(법106),도경옥,전임교수,,,,소양교양(지역과세계),교양(소양),2025.0,이론,GRADE,Understanding Law of the Global Society,상대평가,,,,,,,,,,,,,,,0/0/0
75,75.0,대학 학과공통,1.0,1005-7010,0.0,교양 헌법,84.0,80.0,교양(소양),3/3/0,,목09:00~12:00(법106),명재진,전임교수,,,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,Constitution Study for Public Servant,상대평가,,,,,,,,,,,,,,,0/0/0
76,76.0,대학 학과공통,1.0,1005-7012,0.0,교양 형법,84.0,68.0,교양(소양),3/3/0,,월15:00~18:00(법106),김혜미,강사,,,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,Criminal Law for Public Servant,상대평가,,,,,,,,,,,,,,,0/0/0
77,77.0,대학 학과공통,1.0,1005-7013,0.0,처음 만나는 민주주의,80.0,75.0,교양(소양),3/3/0,혼합,수15:00~18:00(법106),이승택,전임교수,,,,소양교양(인성),교양(소양),2025.0,이론,GRADE,Introduction to Democracy,상대평가,,,,,,,,,,,,,,,0/0/0
78,78.0,대학 학과공통,1.0,1005-7014,0.0,취업의 세계와 법,0.0,0.0,교양(소양),3/3/0,,화15:00~18:00(법212),김기선,전임교수,[1차 폐강 예정 교과목],,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,The World of Employment and Law,상대평가,,,,,,,,,,,,,,,0/0/0
79,79.0,대학 학과공통,1.0,1006-7001,0.0,국제개발협력의 이해,30.0,18.0,교양(소양),3/3/0,,금12:00~15:00(교104A),한석호,전임교수,,,,소양교양(ESG),교양(소양),2025.0,이론,GRADE,Understanding of Int'l Development Cooperation,절대평가,,,,,,,,,,,,,,,0/0/0
80,80.0,대학 학과공통,1.0,1100-7003,0.0,인문학적 사고와 논리,50.0,50.0,교양(기초),2/2/0,,월11:00~13:00(교101),황인지,강사,"[인문사회계열, 예체능계열] 수강 가능",,,기초교양(사고와논리),교양(기초),2025.0,이론,GRADE,인문학적 사고와 논리,상대평가,,,,,,,,,,,,,,,0/0/0
81,81.0,대학 학과공통,1.0,1100-7003,1.0,인문학적 사고와 논리,50.0,50.0,교양(기초),2/2/0,,월14:00~16:00(교101),이한균,강사,"[인문사회계열, 예체능계열] 수강 가능",,,기초교양(사고와논리),교양(기초),2025.0,이론,GRADE,인문학적 사고와 논리,상대평가,,,,,,,,,,,,,,,0/0/0
